"000071000500003"	"EXPERT SYSTEMS"
"000071000500003"	"FUZZY SETS"
"000071000500003"	"INDUCTIVE LEARNING"
"000071000500003"	"MACHINE LEARNING"
"000071000500004"	"LINEAR DISCRIMINANT MODELS"
"000071000500004"	"MDE PRINCIPLE"
"000071000500004"	"MULTIPLE EXPERTS"
"000071000500005"	"DECISION MODEL"
"000071000500005"	"DECISION STRATEGY"
"000071000500005"	"EXPERT SYSTEM"
"000071000500005"	"INDUCTION"
"000071000500005"	"KNOWLEDGE ACQUISITION"
"000071000500006"	"COGNITIVE MAPS"
"000071000500006"	"DECISION-MAKING PROCESS"
"000071000500006"	"NETWORK-BASED REPRESENTATION"
"000071000500006"	"QUALITATIVE PROBABILISTIC NETWORKS"
"000071000500006"	"STOCHASTIC SIMULATION"
"000071000500006"	"STRATEGIC THINKING"
"000071000500007"	"EXPERTISE"
"000071000500007"	"INFORMATION SYSTEMS DESIGN"
"000071000500007"	"KNOWLEDGE REPRESENTATION"
"000071000500007"	"LEARNING"
"000071000500007"	"OBJECT-ORIENTED"
"000071000500008"	"DSS EFFECTIVENESS"
"000071000500008"	"GROUP DSS"
"000071327300003"	"ELECTRONIC COMMERCE"
"000071327300003"	"ELECTRONIC DATA INTERCHANGE"
"000071327300003"	"INTERNET"
"000071327300003"	"INTERORGANIZATIONAL SYSTEMS"
"000071327300003"	"SYSTEMS DEVELOPMENT"
"000071327300005"	"BUSINESS STRATEGY"
"000071327300005"	"CONSUMER BEHAVIOR"
"000071327300005"	"ELECTRONIC COMMERCE"
"000071327300005"	"ELECTRONIC MARKETS"
"000071327300005"	"INDUSTRY STRUCTURE"
"000071327300005"	"TRANSACTION COST ECONOMICS"
"000071327300006"	"ASSEMBLY LINE SEQUENCING"
"000071327300006"	"AUTONOMOUS AGENTS"
"000071327300006"	"GENETIC ALGORITHMS"
"000071327300006"	"MASS CUSTOMIZATION"
"000071534100008"	"DATA ENVELOPMENT ANALYSIS"
"000071534100008"	"MANAGEMENT OF COMPUTING AND INFORMATION SYSTEMS"
"000071534100008"	"SOFTWARE ECONOMICS"
"000071534100008"	"SOFTWARE ENGINEERING"
"000071534100008"	"SOFTWARE MAINTENANCE"
"000071534100008"	"SOFTWARE PRODUCTIVITY"
"000072009300001"	"BROWSING SEMANTICS"
"000072009300001"	"HYPERMEDIA"
"000072009300001"	"HYPERTEXT"
